FCSUCURSAL,FCZONA,FCMAC,FDFECHA,FCVALORX,FCVALORY
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.26323424,15.74683133
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.8174429,7.217796461
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.45956626,7.349289298
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.07941943,15.15352807
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.01931415,14.95952489
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.3020733,7.317038181
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.62358566,7.587655046
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.73379465,10.81022431
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.15187914,7.286281696
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.13784895,15.34212236
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.30574666,7.317790404
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.26636432,12.52921159
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.80620866,7.625052247
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.26882029,7.515006847
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.42381418,7.341968054
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.20531063,12.33214718
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.02286347,11.74325832
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.42381418,7.341968054
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.58667733,7.375318869
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.26882029,7.515006847
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.91463778,7.85203432
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.9474308,7.244415142
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.41586768,7.340340784
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.57918837,7.373785293
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.09984002,7.275625221
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.92202886,7.443991537
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.78710003,10.9822793
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,17.47162483,7.966093102
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.41586768,7.340340784
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.25603202,7.307609931
2784,Conectividad Computo,24:46:C8:CB:35:4C,13/03/2021 22:11:00,24.17991836,16.46689805
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.58440421,13.55575616
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.26479452,7.309404301
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.81144404,11.06085504
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.38236336,7.538257988
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.83518188,7.221429016
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.1302976,7.691418584
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.00607251,7.256423683
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.26479452,7.309404301
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.26479452,7.309404301
